job_id,state,district,domain,nsqf_job_role,qp_code,job_type_available,local_demand_signal,active_msme_cluster,estimated_monthly_income_lpa
JOB_83733AEF,Karnataka,Bengaluru Urban,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Self-Employment / Enterprise,Low,False,18.6
JOB_1231B7FA,Karnataka,Bengaluru Urban,Beauty & Wellness,Assistant Beauty Therapist / Barber,BWS/Q0101,Daily Wage,Medium,True,8.2
JOB_BB6CEC8D,Karnataka,Bengaluru Urban,Artisan & Carpentry,Shuttering Carpenter,CON/Q0301,Daily Wage,Medium,False,10.2
JOB_BE32CE5E,Karnataka,Bengaluru Urban,Electrical & Solar,Wireman Helper,ELE/Q6001,Daily Wage,Medium,True,19.5
JOB_04817052,Karnataka,Bengaluru Urban,Handicrafts & Leather,Handloom Weaver,HCS/Q5401,Daily Wage,Low,False,18.8
JOB_0D9E08DC,Karnataka,Bengaluru Urban,Handicrafts & Leather,Handloom Weaver,HCS/Q5401,Self-Employment / Enterprise,Medium,False,12.0
JOB_9B2F1D91,Karnataka,Bengaluru Urban,Plumbing & Water Works,Plumber General,PSC/Q0104,Self-Employment / Enterprise,High,True,20.7
JOB_B51A1E96,Karnataka,Bengaluru Urban,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Self-Employment / Enterprise,Medium,False,11.0
JOB_673AAEED,Karnataka,Bengaluru Urban,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Fixed Monthly,High,True,11.7
JOB_75A3BFAB,Karnataka,Bengaluru Urban,Construction,Assistant Mason,CON/Q0101,Daily Wage,Medium,False,15.0
JOB_44896014,Karnataka,Bengaluru Urban,Plumbing & Water Works,Borewell Assistant & Submersible Pump Tech,PSC/Q0112,Fixed Monthly,Medium,False,8.7
JOB_C37A95A7,Karnataka,Bengaluru Urban,Handicrafts & Leather,Handloom Weaver,HCS/Q5401,Fixed Monthly,Medium,False,15.2
JOB_A8D95656,Karnataka,Bengaluru Urban,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Self-Employment / Enterprise,Low,False,18.7
JOB_67ECA22C,Karnataka,Bengaluru Urban,Electrical & Solar,Solar PV Installation Helper,SGJ/Q0102,Daily Wage,High,False,20.8
JOB_A18D5675,Karnataka,Bengaluru Urban,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Self-Employment / Enterprise,Medium,True,18.3
JOB_B32C9546,Karnataka,Bengaluru Urban,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Daily Wage,High,False,17.4
JOB_C763CBCA,Karnataka,Bengaluru Urban,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Daily Wage,Medium,False,16.4
JOB_C0984E88,Karnataka,Bengaluru Urban,Plumbing & Water Works,Plumber General,PSC/Q0104,Daily Wage,Medium,True,14.1
JOB_E80DCA18,Karnataka,Bengaluru Urban,Plumbing & Water Works,Borewell Assistant & Submersible Pump Tech,PSC/Q0112,Self-Employment / Enterprise,Medium,True,17.2
JOB_93ACCF97,Karnataka,Bengaluru Urban,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Fixed Monthly,Medium,True,9.5
JOB_493D426C,Karnataka,Bengaluru Urban,Handicrafts & Leather,Handloom Weaver,HCS/Q5401,Fixed Monthly,High,False,11.8
JOB_33A995B7,Karnataka,Bengaluru Urban,Artisan & Carpentry,Shuttering Carpenter,CON/Q0301,Fixed Monthly,Medium,True,21.5
JOB_B6A613C1,Karnataka,Bengaluru Urban,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Self-Employment / Enterprise,High,False,19.4
JOB_4D24254E,Karnataka,Bengaluru Rural,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Self-Employment / Enterprise,High,False,16.1
JOB_BCEF46C3,Karnataka,Bengaluru Rural,Plumbing & Water Works,Borewell Assistant & Submersible Pump Tech,PSC/Q0112,Fixed Monthly,Medium,False,15.9
JOB_3EAAC76B,Karnataka,Bengaluru Rural,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Fixed Monthly,Low,False,19.0
JOB_ADD23DC2,Karnataka,Bengaluru Rural,Electrical & Solar,Wireman Helper,ELE/Q6001,Self-Employment / Enterprise,Low,False,24.1
JOB_AF5A9F72,Karnataka,Bengaluru Rural,Beauty & Wellness,Assistant Beauty Therapist / Barber,BWS/Q0101,Self-Employment / Enterprise,Low,False,23.2
JOB_0389779A,Karnataka,Bengaluru Rural,Construction,Assistant Mason,CON/Q0101,Daily Wage,Medium,True,11.9
JOB_BAE92104,Karnataka,Bengaluru Rural,Automotive & Mechanical,Two-Wheeler Service Assistant,ASC/Q1411,Self-Employment / Enterprise,Medium,False,9.8
JOB_C121E4B1,Karnataka,Bengaluru Rural,Electrical & Solar,Home Appliance Service Technician,ELE/Q3104,Fixed Monthly,Medium,False,19.9
JOB_C67A6B2E,Karnataka,Bengaluru Rural,Garments & Tailoring,Self-Employed Tailor,AMH/Q1947,Daily Wage,Medium,False,20.9
JOB_DB2411A9,Karnataka,Bengaluru Rural,Handicrafts & Leather,Handloom Weaver,HCS/Q5401,Fixed Monthly,High,True,19.2
JOB_C232BF8F,Karnataka,Bengaluru Rural,Electrical & Solar,Solar PV Installation Helper,SGJ/Q0102,Daily Wage,Low,True,12.3
JOB_334D3333,Karnataka,Bengaluru Rural,Electrical & Solar,Wireman Helper,ELE/Q6001,Daily Wage,Medium,False,16.0
JOB_F81A043E,Karnataka,Bengaluru Rural,Automotive & Mechanical,Two-Wheeler Service Assistant,ASC/Q1411,Fixed Monthly,Medium,False,17.0
JOB_C302895B,Karnataka,Bengaluru Rural,Electrical & Solar,Wireman Helper,ELE/Q6001,Fixed Monthly,Medium,True,24.6
JOB_5098D221,Karnataka,Bengaluru Rural,Plumbing & Water Works,Plumber General,PSC/Q0104,Fixed Monthly,High,True,20.9
JOB_8FE993F6,Karnataka,Bengaluru Rural,Handicrafts & Leather,Handloom Weaver,HCS/Q5401,Self-Employment / Enterprise,Medium,False,24.1
JOB_792C30A2,Karnataka,Bengaluru Rural,Automotive & Mechanical,Two-Wheeler Service Assistant,ASC/Q1411,Self-Employment / Enterprise,Low,False,14.1
JOB_B4E2AE70,Karnataka,Bengaluru Rural,Plumbing & Water Works,Plumber General,PSC/Q0104,Fixed Monthly,High,True,23.9
JOB_5992396D,Karnataka,Bengaluru Rural,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Daily Wage,Medium,False,14.9
JOB_D544A43B,Karnataka,Bengaluru Rural,Beauty & Wellness,Assistant Beauty Therapist / Barber,BWS/Q0101,Fixed Monthly,High,False,11.9
JOB_B4266565,Karnataka,Ramanagara,Electrical & Solar,Solar PV Installation Helper,SGJ/Q0102,Self-Employment / Enterprise,High,False,20.8
JOB_8A182764,Karnataka,Ramanagara,Garments & Tailoring,Self-Employed Tailor,AMH/Q1947,Self-Employment / Enterprise,Medium,True,15.5
JOB_04302979,Karnataka,Ramanagara,Artisan & Carpentry,Shuttering Carpenter,CON/Q0301,Fixed Monthly,Low,False,22.8
JOB_00592BAF,Karnataka,Ramanagara,Electrical & Solar,Wireman Helper,ELE/Q6001,Fixed Monthly,High,False,16.7
JOB_96CE3B40,Karnataka,Ramanagara,Beauty & Wellness,Assistant Beauty Therapist / Barber,BWS/Q0101,Fixed Monthly,High,False,11.5
JOB_820F5BC1,Karnataka,Ramanagara,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Self-Employment / Enterprise,High,True,8.0
JOB_54E9688E,Karnataka,Ramanagara,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Self-Employment / Enterprise,High,False,21.6
JOB_D0EB13BA,Karnataka,Ramanagara,Electrical & Solar,Home Appliance Service Technician,ELE/Q3104,Self-Employment / Enterprise,Low,False,13.2
JOB_F41D3DE4,Karnataka,Ramanagara,Handicrafts & Leather,Handloom Weaver,HCS/Q5401,Self-Employment / Enterprise,Medium,False,20.4
