NQR QUALIFICATIONS SUMMARY SHEET,,,,Downloaded on: 17-09-2026 06:36:58,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
S No.,Title,Code,Description,Sector Name,Level,Maximum Notational Hours,Minimum Notational Hours,Version,Originally Approved,Valid Till,Awarding Body,Certifying Bodies,Proposed Occupation,Progression Pathway,Qualifcation Type,Adopted Qualifcation,Training Delivery Hours,,
103,SCRIPT RESEARCHER,2022/ME/MESC/05216,"Individuals at this job read and assess the script for the merit of the story, its dramaturgy and overall competence and offer feedback and notes for improvement to make the script production worthy.",Media & Entertainment,Level 4,450 Hours,450 Hours,Version ,27 Jan 2022,25 Jan 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,The individuals in this job are required to have a sound understanding of the craft of screenwriting. The individual must be able to read a script and understand the premise and intention embedded in the story. The individual must be able to assess the script and narrative style and identify areas of improvement to enhance the impact and quality of the script.,"Script Writer
Script Editor",General Qualification,N.A.,"{""Theory"":""135"",""Practical"":""195"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",,
104,SCRIPT WRITER,2022/ME/MESC/05217,"Individuals at this job need to write full length scripts that are production-ready. Note: In the Indian film industry, the script is often constructed as a sum of 3 elements: Story, Screenplay and Dialogue and three different individuals usually write these. However, ideally the entire script should be written by one writer (or at least the screenplay and dialogue)",Media & Entertainment,Level 5,540 Hours,540 Hours,Version ,27 Jan 2022,25 Jan 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,SCRIPT WRITER,"SCRIPT EDITOR
Entrepreneurship",General Qualification,N.A.,"{""Theory"":""225"",""Practical"":""255"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
105,SET CARPENTER,2022/ME/MESC/05218,"The individuals in this job are required to manufacture wooden structures and items as per the script requirements. The individual should have carpentry and
joinery skills – including how to make scale drawings, how to measure and cut pieces of wood and techniques for joining wooden components. The individual should possess basic literacy and numeracy skills and be able to communicate effectively with the set construction team.",Media & Entertainment,Level 3,330 Hours,330 Hours,Version ,27 Jan 2022,25 Jan 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,SET CARPENTER,Set Decorator,General Qualification,N.A.,"{""Theory"":""95"",""Practical"":""175"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""60""}",,
106,Set Decorator,2022/ME/MESC/05219,"Individuals in this job need to mark-up the script for set furnishings requirements. They need to procure these items, store them safely during the shoot and ensure continuity.",Media & Entertainment,Level 4,540 Hours,480 Hours,Version ,27 Jan 2022,25 Jan 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,"Individuals in this job need to mark-up the script for set furnishings requirements. They need to procure these items, store them safely during the shoot and ensure continuity.",Set Designer,General Qualification,N.A.,"{""Theory"":""180"",""Practical"":""300"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""60""}",,
107,Set Painter,2022/ME/MESC/05220,"Set Painter in the Media & Entertainment Industry is responsible for painting different surfaces and producing specified finishes/ effects. Individuals in this job need to understand painting requirements, paint a variety of surfaces and produce desired effects.",Media & Entertainment,Level 3,300 Hours,240 Hours,Version ,27 Jan 2022,25 Jan 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,Set Painter,Set Decorator,General Qualification,N.A.,"{""Theory"":""140"",""Practical"":""70"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",,
108,Set Plasterer,2022/ME/MESC/05221,"Set Plasterer in the Media & Entertainment Industry is responsible for plastering different surfaces and creating plaster components on set. Individuals in this job need to understand plastering requirements, plaster a variety of surfaces and produce plaster components.",Media & Entertainment,Level 3,300 Hours,300 Hours,Version ,27 Jan 2022,25 Jan 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,Set Plasterer,Set Decorator,General Qualification,N.A.,"{""Theory"":""60"",""Practical"":""150"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",,
109,Sound Assistant,2022/ME/MESC/05222,Sound Assistant in the Media & Entertainment Industry is also known as a Sound Technician or Boom Operator Individuals at this job are responsible to set-up/ disassemble sound equipment and capture sound with the optimum quality for production.,Media & Entertainment,Level 3,390 Hours,330 Hours,Version ,27 Jan 2022,25 Jan 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,Sound Assistant,Sound Engineer / Sound Designer,General Qualification,N.A.,"{""Theory"":""120"",""Practical"":""210"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""60""}",,
110,Sound Designer,2022/ME/MESC/05223,Sound designer in the Media & Entertainment Industry is also known as a Sound supervisor or Creative Sound Director. Individuals at this job design the sound concept for a production and select the studios/equipment for recordings.,Media & Entertainment,Level 5,540 Hours,540 Hours,Version ,27 Jan 2022,25 Jan 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,Sound Designer,"Music Programmer
Music Composer
Director of Audiography",General Qualification,N.A.,"{""Theory"":""165"",""Practical"":""345"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",,
111,Sound Editor,2022/ME/MESC/05224,"Individuals at this job are responsible for edit various sound sources including live or pre-recorded music, atmosphere tracks, dialogue, Foley effects, live/pre-recorded/electronic sound effects tracks Sound mixer or Sound recordist",Media & Entertainment,Level 4,510 Hours,510 Hours,Version ,27 Jan 2022,06 Feb 2025,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,Sound mixer or Sound recordist,"Sound Designer
Music Programmer",General Qualification,N.A.,"{""Theory"":""120"",""Practical"":""270"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",,
112,Sound Engineer,2022/ME/MESC/05225,Individuals at this job are responsible to record and mix sound sources to create end-products that meet the quality standards and requirements of production. Sound engineer in the Media & Entertainment Industry is also known as a Sound mixer or Sound recordist,Media & Entertainment,Level 4,420 Hours,360 Hours,Version ,27 Jan 2022,25 Jan 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,Sound Engineer,"Sound Designer
Sound Editor
Music Programmer
Music Composer",General Qualification,N.A.,"{""Theory"":""115"",""Practical"":""225"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",,
113,Storyboard Artist,2022/ME/MESC/05226,Story board artist in the Media & Entertainment Industry is also known as the Story Artist. Individuals at this job need to translate the script/ story/ idea/ concept into a visual medium using a series of illustrated frames.,Media & Entertainment,Level 3,330 Hours,330 Hours,Version ,27 Jan 2022,25 Jan 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,Layout Designer,Compositor / Modeler,General Qualification,N.A.,"{""Theory"":""70"",""Practical"":""170"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",,
114,Texturing Artist,2022/ME/MESC/05227,"Texturing Artist
This job requires the individual to create textures using software such as Autodesk Maya, 3D Studio Max, Mud Box, Z-brush, etc. The individual must be well-versed with the techniques of texture mapping and projection. The individual must also have a good understanding of the principles of colour theory, photography multi-pass rendering and lighting etc.",Media & Entertainment,Level 4,450 Hours,390 Hours,Version ,27 Jan 2022,25 Jan 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,Texturing Artist,Quality Analyst / Sr. Animator,General Qualification,N.A.,"{""Theory"":""120"",""Practical"":""270"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""60""}",,
115,Unit Production Manager,2022/ME/MESC/05228,"Unit Production Manager in the Media & Entertainment Industry is a key member of the Production Department and is responsible for day to day production activities. This role is most relevant in filmmaking and large television projects. These activities may be taken up by other members of the production department in small projects/ organizations.
Individuals in this job need to coordinate daily production tasks and manage the production unit (cast and crew). The unit production is very shoot-oriented and is the main person in charge of logistics, coordination and execution of production activities during shooting.",Media & Entertainment,Level 5,540 Hours,540 Hours,Version ,27 Jan 2022,25 Jan 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,Unit Production Manager,Line Producer,General Qualification,N.A.,"{""Theory"":""225"",""Practical"":""315"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",,
116,VFX Editor,2022/ME/MESC/05229,"VFX Editor in the Media & Entertainment Industry is also known as a VFX Artist/ Visual Effects Editor
The individual to have a good understanding of the techniques for creating computer-generated effects and for rectifying production. The individual must be aware of the principles of
film-making, cinematography and photography and job need to create illusionary elements/images/segments for production",Media & Entertainment,Level 4,450 Hours,390 Hours,Version ,27 Jan 2022,25 Jan 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,VFX Editor,Technical Artist VFX,General Qualification,N.A.,"{""Theory"":""105"",""Practical"":""255"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",,
117,Voice-over Artist,2022/ME/MESC/05230,Artist in the Media & Entertainment Industry is also known as Voice-over Artist/ Dubbing Artist/ Voice Actor. Individuals at this job need to provide the voice for characters in various productions,Media & Entertainment,Level 4,510 Hours,480 Hours,Version ,27 Jan 2022,25 Jan 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,Acting/ Voice-over Artist,Sr. Voice Over Artist / Theatre Teacher,General Qualification,N.A.,"{""Theory"":""120"",""Practical"":""300"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",,
118,Armed Security Guard,2022/OAFM/MEPSC/05426,"Armed Security Guard has to guard designated premises and people by manning the first tier of protection aided by appropriate security devices/ equipment and by timely and efficient use of firearms. The core responsibility includes guarding against theft, criminal acts, emergencies, fire and other contingencies.",Private Security,Level 4,450 Hours,450 Hours,Version ,24 Feb 2022,24 Feb 2027,Management & Entrepreneurship and Professional Skills Council (MEPSC),Management &Entrepreneurship and Professional Skills Council (MEPSC),Private Security,"Personal Security Officer, Security supervisor",General Qualification,N.A.,"{""Theory"":""150"",""Practical"":""240"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
119,ACCOUNT DIRECTOR,2022/ME/MESC/05433,"Individuals at this job are responsible for managing the client’s advertisement portfolio
The individuals in this job are required to understand advertising requirements from the client and coordinate with the creative teams within the agency to have them executed.",Media & Entertainment,Level 6,840 Hours,840 Hours,Version ,24 Feb 2022,23 Feb 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,Account Director (Advertising Agency),Entrepreneur / Businessman,General Qualification,N.A.,"{""Theory"":""270"",""Practical"":""510"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
120,Actor,2022/ME/MESC/05451,"The individual will portray the assigned character in a feature or short film, TV series, web series, in a television, advertisement, stage in theme parks and theatrical presentation, under the guidance of the production director.",Media & Entertainment,Level 4,480 Hours,450 Hours,Version ,22 Feb 2022,23 Mar 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,Acting,"Acting Director, Casting Director,  Producer (advertisement / Film / Serial etc.)",General Qualification,N.A.,"{""Theory"":""135"",""Practical"":""255"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",,
121,COMMUNITY JOURNALIST,2022/ME/MESC/05441,"A Community Journalist helps the correspondent and editorial team in newsroom by circulating or providing local news on different subjects important to community. He/she gathers information by capturing pictures / videos and creates case highlights, news stories, to be used for television, radio or in magazines, newspapers, etc.",Media & Entertainment,Level 4,510 Hours,510 Hours,Version ,24 Feb 2022,23 Feb 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,Journalism,Feature Writer / Sr. Correspondent,General Qualification,N.A.,"{""Theory"":""150"",""Practical"":""240"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",,
122,Dancer,2022/ME/MESC/05450,"Individuals at this job perform dances as soloists or as members of groups before live audiences or for film or television.
Use movement to interpret music, tell stories and express emotion, Practice and rehearse dance routines under direction or instruction to achieve desired interpretation and presentation, have basic understanding of filmmaking process, and have artistic vision and creative skills.",Media & Entertainment,Level 3,450 Hours,450 Hours,Version ,24 Feb 2022,23 Feb 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,Dancer,"Choreographer NSQF Level 5, Cine Dance Director NSQF level 6
`",General Qualification,N.A.,"{""Theory"":""120"",""Practical"":""300"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""30""}",,
123,DIGITAL MARKETING MANAGER,2022/ME/MESC/05446,"Individuals at this job carry out digital marketing process to promote the company offerings and get more customers and sales through digital channels such as search engines networks, social media networks etc.
Develop and implement digital marketing strategy for the organization, track and optimize the campaigns and manage the team of executives effectively to meet the organization goals and objectives.",Media & Entertainment,Level 6,840 Hours,840 Hours,Version ,24 Feb 2022,23 Feb 2027,Media & Entertainment Skill Council (MESC),Media & Entertainment Skills Council,Marketing / Advertising Sales / Traffic,Director / Entrepreneur,General Qualification,N.A.,"{""Theory"":""285"",""Practical"":""495"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
124,EXECUTIVE PRODUCER,2022/ME/MESC/05434,"Individuals at this job need to determine the visual style of the production. They finalize locations and equipment that will be used. During shoots, they guide efforts of the camera crew and collaborate with lighting and grips to capture the desired look for the end-product.",Media & Entertainment,Level 7,840 Hours,840 Hours,Version ,24 Feb 2022,23 Feb 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,"Film, TV, Advertisement, Digital, Radio",Entrepreneur / Businessman,General Qualification,N.A.,"{""Theory"":""240"",""Practical"":""540"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
125,GRAPHIC DESIGNER,2022/ME/MESC/05452,"Graphic designers create visual concepts, using computer software or by hand, to communicate ideas that inspire, inform, and captivate consumers. They develop the overall layout and production design for various applications such as advertisements, brochures, magazines, and corporate reports etc. with high visual impact.",Media & Entertainment,Level 4,540 Hours,540 Hours,Version ,24 Feb 2022,27 Feb 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,GRAPHIC DESIGNER,"Conceptualizer, Visualizer, Product Designer",General Qualification,N.A.,"{""Theory"":""180"",""Practical"":""240"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",,
126,PROSTHETICS ARTIST,2022/ME/MESC/05435,Individuals at this job are responsible for creating and applying prosthetics for artists,Media & Entertainment,Level 5,540 Hours,540 Hours,Version ,24 Feb 2022,23 Feb 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,Hair and Make-Up - Individuals at this job are responsible for creating and applying prosthetics for artists,"Self Employed freelance Artist, Entrepreneur / Businessman",General Qualification,N.A.,"{""Theory"":""180"",""Practical"":""300"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
127,Rendering Artist,2022/ME/MESC/05436,Individuals at this job need to convert three-dimensional geometric models into a set of viewable images,Media & Entertainment,Level 4,510 Hours,510 Hours,Version ,24 Feb 2022,23 Feb 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,Individuals at this job need to convert three-dimensional geometric models into a set of viewable images,Game Artist / Sr. Animator,General Qualification,N.A.,"{""Theory"":""150"",""Practical"":""360"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",,
128,SALES MANAGER,2022/ME/MESC/05438,Individuals at this job are responsible to lead sales activities within the designated area of responsibility,Media & Entertainment,Level 6,840 Hours,840 Hours,Version ,24 Feb 2022,23 Feb 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,"The individuals in this job are required to achieve sales targets set by the sales manager. The individual is responsible to acquire new clients, develop proposals for new and existing clients and close sales orders",Entrepreneur / Businessman,General Qualification,N.A.,"{""Theory"":""240"",""Practical"":""510"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
129,SCRIPT EDITOR,2022/ME/MESC/05439,"Individuals at this job read and assess the script for the merit of the story, its dramaturgy and overall competence and offer feedback and notes for improvement to make the script production worthy.",Media & Entertainment,Level 6,840 Hours,840 Hours,Version ,24 Feb 2022,23 Feb 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,The individuals in this job are required to have a sound understanding of the craft of screenwriting. The individual must be able to read a script and understand the premise and intention embedded in the story. The individual must be able to assess the script and narrative style and identify areas of improvement to enhance the impact and quality of the script.,Entrepreneur / Businessman,General Qualification,N.A.,"{""Theory"":""285"",""Practical"":""495"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
130,Search Engine Marketing Executive,2022/ME/MESC/05443,"Individuals in this job are responsible for managing all paid search campaigns on all major search engine networks. They are responsible for setting up pay-per-click (PPC) campaigns and execute activities such as keyword research, advertisement copies creation, keywords bidding, set-up of advertisement extensions etc. to drive relevant paid traffic to the website or landing pages.",Media & Entertainment,Level 4,540 Hours,540 Hours,Version ,24 Feb 2022,23 Feb 2027,Media & Entertainment Skill Council (MESC),Media & Entertainment Skills Council,"Marketing, Ad Sales, Traffic",Social Media Manager,General Qualification,N.A.,"{""Theory"":""150"",""Practical"":""270"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",,
131,Social Media Executive,2022/ME/MESC/05444,"Individuals in this job handle all the social media activities for their company/ multiple clients in order to create brand awareness. It comprises of ideating, coordinating, executing social media campaigns, promotions and advertisements. The individual is responsible for the regular posting, sharing and updating the social media activities on all the major social media networks.",Media & Entertainment,Level 4,510 Hours,510 Hours,Version ,24 Feb 2022,23 Feb 2027,Media & Entertainment Skill Council (MESC),Media & Entertainment Skills Council,Marketing / Ad Sales/ Traffic,"Social Media Manager NSQF level 5, Digital Marketing Manager NSQF Level 6",General Qualification,N.A.,"{""Theory"":""120"",""Practical"":""270"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",,
132,TRAFFIC COORDINATOR (Media Organisations),2022/ME/MESC/05440,"The individuals in this job are required to manage inventory and schedule advertisements for a broadcasting company. The individual needs to be well versed with the daily programme schedules and must be able to coordinate with the programming teams, as well as the agencies, to receive information on the duration of programmes/advertisements, to prepare playout schedules and make adjustments in the event of any change.",Media & Entertainment,Level 4,540 Hours,540 Hours,Version ,24 Feb 2022,23 Feb 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,Traffic Coordinator (Media Organisations),Not Applicable,General Qualification,N.A.,"{""Theory"":""180"",""Practical"":""300"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""60""}",,
133,SEARCH ENGINE OPTIMIZATION EXECUTIVE,2022/ME/MESC/05442,"Individuals at this job carry out the search engine optimization process to increase the organic traffic of the website in all the major search engine networks.
Research list of relevant keywords, implement on-page and off-page search engine optimization activities, track keyword rankings and prepare performance reports for the key stakeholders.",Media & Entertainment,Level 4,540 Hours,540 Hours,Version ,24 Feb 2022,23 Feb 2027,Media & Entertainment Skill Council (MESC),Media & Entertainment Skills Council,Marketing / Advertising Sales / Traffic,Social Media Manager,General Qualification,N.A.,"{""Theory"":""135"",""Practical"":""285"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",,
134,Sales Director (Media Org.),2022/ME/MESC/05437,"The individuals in this job are required to understand business objectives and develop sales plans, forecasts, targets and budgets. The individual is required to finalise the structure of the sales team and oversee their sales efforts to ensure that they are in line with the targets that needs to be achieved. The individual must also manage the key clients of the company and procure new clients.",Media & Entertainment,Level 6,840 Hours,840 Hours,Version ,24 Feb 2022,23 Feb 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,Ad Sales,"Entrepreneur, Businessman",General Qualification,N.A.,"{""Theory"":""300"",""Practical"":""480"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
135,Social Media Manager,2022/ME/MESC/05445,"A social Media Manager is a creative individual whose primary responsibility is to develop and implement a social media marketing plan across all social media platforms. He should be able to handle all the social media activities for his company/ multiple clients. It comprises of ideating, coordinating, executing social media campaigns, promotions and advertisements. He is responsible for the supervision of social media department and ensuring regular posting, sharing and updating the social media activities.",Media & Entertainment,Level 5,540 Hours,540 Hours,Version ,24 Feb 2022,23 Feb 2027,Media & Entertainment Skill Council (MESC),Media & Entertainment Skills Council,Marketing/ Ad Sales / Traffic,Digital Marketing Manager/General Manager Marketing/Vice President (Marketing)/Head-Marketing,General Qualification,N.A.,"{""Theory"":""180"",""Practical"":""300"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
136,In-Store Demonstrator,2022/EHW/ESSC/05381,"In-Store Demonstrator is responsible for effective engagement with the  customers, understanding their buying requirements, explaining the promotions, schemes and offers of the store, assisting them in choosing the right model of appliance/device and completing the sales transaction.",Electronics & HW,Level 3,450 Hours,450 Hours,Version ,24 Feb 2022,24 Feb 2027,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Pre sales service,Business Development Executive,"Heritage/Traditional Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""90"",""Practical"":""120"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""210""}",,
137,Electronics Machine Maintenance Executive,2022/EHW/ESSC/05386,The individual at work is carries out scheduled maintenance of machines used on shop ﬂoor using manufacturers manual and as per training given by manufacturer in order to have zero unscheduled downtime.,Electronics & HW,Level 4,600 Hours,600 Hours,Version ,24 Feb 2022,25 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Maintenance,"Maintenance Supervisor, Maintenance Engineer","Future Skills Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
138,Assembly Operator - TV,2022/EHW/ESSC/05383,The individual at work is responsible for ﬁtting in the different modules of the television set into the frame using appropriate screws and connectors during the different stages of the assembly process. The individual is expected to minimise errors at every stage since the assembly line is continuously in motion.,Electronics & HW,Level 4,600 Hours,600 Hours,Version ,24 Feb 2022,24 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Assembly- EMS,Assembly Supervisor,"Heritage/Traditional Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""150"",""Practical"":""240"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
139,Assembly Operator - RAC,2022/EHW/ESSC/05382,"The individual at work is responsible for assembling and wiring up of various components, modules or sub- assemblies and systems to make the complete product.",Electronics & HW,Level 4,600 Hours,600 Hours,Version ,24 Feb 2022,24 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Assembly-EMS,"Assembly Supervisor, Line Process Auditor","Heritage/Traditional Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
140,Electrical Assembly Operator - Control Panel,2022/EHW/ESSC/05380,The individual at work mounts and installs and connects internal electronic modules devices and components on the control panel.,Electronics & HW,Level 3,450 Hours,450 Hours,Version ,24 Feb 2022,24 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Assembly-I&A,Electrical Assembly Supervisor – Control Panel,"Future Skills Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""120"",""Practical"":""210"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""90""}",,
141,Solar LED Technician,2022/EHW/ESSC/05378,"The individual is capable of installing various types of solar home based LED lighting, outdoor and street lighting as per given instructions. The person should be able to identify faults in a solar PV system and carry out repair at preliminary level in line with given performance parameters. The individual must adhere to all the relevant environmental, safety and regulatory requirements while carrying out his/her job duties.",Electronics & HW,Level 4,600 Hours,600 Hours,Version ,24 Feb 2022,27 May 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Installation-S&L,Solar LED Project Engineer,"Future Skills Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
142,Winding Operator,2022/EHW/ESSC/05376,The Winding Operator winds the metal-alloy wire or metalized ﬁlm on to a core by using an automated or semi-automated winding machines in the process of manufacturing of capacitors and resistors. The individual also sample checks the resistance or capacitance of the winding.,Electronics & HW,Level 4,600 Hours,600 Hours,Version ,24 Feb 2022,27 May 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Production-S&C,Die Attach and Wire Bonding Engineer,"Future Skills Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
143,Incoming Materials Inspector - Electronics Items,2022/EHW/ESSC/05374,The Incoming Materials Inspector receives components and modules at the factory premises and veriﬁes that the quantity and speciﬁcations of the parts received are as per the respective purchase order. The individual is responsible for inspecting the incoming materials and coordinating with various departments within an organization.,Electronics & HW,Level 4,600 Hours,600 Hours,Version ,24 Feb 2022,24 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Incoming Inspection-EMS,Quality Supervisor,"Heritage/Traditional Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""150"",""Practical"":""240"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
144,Purchase-Executive,2022/EHW/ESSC/05373,"Also known as Procurement Executive, the individual purchases quality materials in a timely manner at competitive prices to maintain the optimum inventory level. The individual also collects information about the materials required by different departments and selects the appropriate supplier.",Electronics & HW,Level 4,600 Hours,600 Hours,Version ,24 Feb 2022,24 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Purchase and Procurement,Purchase Engineer,Multi-Skill Qualification,N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
145,LED Luminary Mechanical Assembly and Testing Technician,2022/EHW/ESSC/05372,"The individual at work is responsible for ﬁtting together different electronic, electrical and mechanical parts and connect them to make the ﬁnal LED luminary as per product design as well as testing LED luminaries using different testing equipment.",Electronics & HW,Level 4,600 Hours,600 Hours,Version ,24 Feb 2022,24 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Assembly-S&L,LED Light Assembly Engineer,"Heritage/Traditional Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
146,Maintenance Technician,2022/EHW/ESSC/05371,he individual at work undertakes periodical preventive maintenance of machines as per the set schedule for the electrical and mechanical systems installed in the factory. The individual is also responsible for attending to any breakdown and repairs to restore temporary or permanent functioning or call expert for signiﬁcant down time problems.,Electronics & HW,Level 3,450 Hours,450 Hours,Version ,24 Feb 2022,24 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Maintenance,Electronics Machine Maintenance Executive,"Heritage/Traditional Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""120"",""Practical"":""210"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""90""}",,
147,Assistant Installation Computing And Peripherals,2022/EHW/ESSC/05638,"The individual at work is responsible for installing newly purchased products, troubleshooting system problems and, conﬁguring peripherals such as printers, scanners and network devices.",Electronics & HW,Level 3,450 Hours,450 Hours,Version ,31 Mar 2022,31 Jul 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,After Sales Service,Field Technician - Computing & Peripherals,General Qualification,N.A.,"{""Theory"":""120"",""Practical"":""210"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""90""}",,
